lat,lng,星级,餐厅名称
30.3062027699,120.1750744063,70%,小店王绍兴菜馆
30.3712539209,120.0336919066,0%,良渚食街
30.2478698905,120.2201843586,100%,杭州洲际酒店日月轩中餐厅
30.252685831,120.1769864671,70%,西北人家清真风味馆(中山中路店)
30.3768095935,120.0260329134,80%,良渚文化村食街
30.2682991028,120.1656036377,100%,九井精致料理(凤起店)
30.2534427643,120.1673970054,100%,陆记饭庄
30.2816189024,120.112172038,60%,情侣小火锅
30.2987853084,120.1688615153,70%,胖哥美食
30.2513355986,120.119120832,00%,九里云松云庭餐厅
30.2280539827,119.7124709287,70%,甜品时间
30.2996196747,120.2123477577,70%,杭州小吃
30.268394226,120.1763961396,100%,御牛道日式料理炭火烤肉(二圣庙店)
29.376116,119.228866,0%,建德市精制米厂
29.801203,119.692192,0%,桐庐小笼
29.605487,119.034008,0%,山之隐日本料理
30.223972,120.129523,0%,A.MONO Patisserie
30.194736,120.223925,0%,福锅记
30.24625,120.113972,0%,灵隐茶市
30.200371,120.198744,0%,晨曦炖品·鲍鱼饭(中南店)
30.314559,120.335658,0%,Homie Canteen
30.1937,120.154079,0%,金桐年憶韩国料理·烤肉
30.264895,120.165317,0%,Alfee Home艾神家咖啡(望湖店)
30.256697,120.224255,0%,SKYTOPIA Urban Lifestyle咖啡 清吧
30.217417,120.211886,0%,原上·健康餐厅(杭州印店)
30.251885,120.224033,0%,杭州钱江新城万豪酒店大堂吧
30.213505,120.203065,0%,贰千金LadyBund
30.269577,120.054192,0%,某年某月咖啡馆
30.242686,120.478507,0%,星巴克
30.317357,120.389522,0%,串串吧
30.286132,120.030097,80%,盒马鲜生(淘宝城店)
30.299761,120.211115,0%,付小姐在成都(新风路店)
30.248936,120.17744,0%,FANTASTIGER米分米分
30.3172872619,120.097544165,0%,捞道自助火锅
30.176025,120.159594,0%,啦喜街美食街
30.26596,120.133913,0%,全季酒店餐厅
30.246561,120.102859,0%,法云安缦咖啡屋
30.259336,120.170521,0%,Foamy Foamy(湖滨银泰in77店)
30.193612,120.174746,0%,KidsToo亲子兔亲子餐厅(滨江宝龙城店)
30.2259003671,120.175278609,0%,杭州茶舍
30.151509,120.284797,0%,和顺小吃
30.328575,120.185787,0%,星月古兰·异域清真火锅(新天地店)
30.266095,120.124644,0%,老潼关肉夹馍(青芝坞店)
30.254473,120.137843,0%,青岚
30.305104,120.220338,0%,Fun Moment萌饭亲子概念餐厅
30.231566,120.139381,0%,雅谷泉山庄大堂吧
30.299091,120.167225,0%,外婆家土菜馆
30.224418,120.352196,0%,烧烤夜宵
30.312265,120.282895,0%,一点点奶茶
30.337732,120.086178,100%,傲椒餐厅
30.248083,120.177724,0%,觀芷隐轩
30.223425,120.22658,0%,希尔顿酒店
30.290808646,120.2056627969,0%,宽窄巷子成都串串香(衣之家城市广场店)
29.478633,118.678015,0%,文渊狮城·江百味
30.2755899541,120.1687735357,0%,和府捞面(国大店)
30.222725,120.039049,0%,济州岛
30.2398408366,120.1889841868,0%,徐记小吃店
30.198243222,120.1318017014,0%,浙江大学之江校区食堂
30.2990987361,120.2216825109,0%,家加吉重庆特色小吃(杭州东站店)
30.2619755735,120.1469709656,0%,浙江西湖山庄
30.2714773387,120.1634509761,0%,三千西子
30.2489813517,120.1773837393,20%,恒庐时尚杭帮菜
30.3044106122,120.3317241264,0%,海底捞火锅(海达南路银泰店)
30.2128914135,120.2162818069,0%,正宗韩国料理枣玛露
30.2466501457,120.1647385781,100%,小黄楼英式下午茶(南山路店)
30.2566814395,120.1775914243,0%,陈八两面家(解放路店)
30.3762332707,120.0293766862,0%,良渚君澜度假酒店大堂吧
30.2468461466,120.3102902438,0%,哆哆自助火锅烧烤
30.1957014781,120.1981646724,0%,阿里巴巴食堂
30.2238103904,120.1361028706,0%,海华满陇度假酒店
29.7542329663,119.6923546994,0%,雷迪森度假酒店·自助餐
30.265696936,120.1682689437,100%,城中啤酒吧MidtownBrewery（杭州城中香格里拉大酒店）
30.265696936,120.1682689437,0%,美食汇·自助餐厅 (城中香格里拉大酒店店)
30.2266264707,120.1602010237,0%,曼陀林·花园餐厅(西湖玉皇山店)
30.248336984,120.1655437209,80%,BERNINI
